Word;Indices;GP sum;GP sum red header;Plaintext minus ciphertext;Plaintext plus ciphertext;Ciphertext_minus_plaintext
Budorcas;[17, 1, 23, 3, 4, 5, 24, 15];334;431;[27, 9, 0, 5, 2, 20, 14, 25];[7, 22, 17, 1, 6, 19, 5, 5];[2, 20, 0, 24, 27, 9, 15, 4]
Bufferin;[17, 1, 0, 0, 18, 4, 10, 9];206;303;[27, 9, 6, 2, 16, 19, 0, 19];[7, 22, 23, 27, 20, 18, 20, 28];[2, 20, 23, 27, 13, 10, 0, 10]
Bukharin;[17, 1, 5, 8, 24, 4, 10, 9];268;365;[27, 9, 11, 10, 22, 19, 0, 19];[7, 22, 28, 6, 26, 18, 20, 28];[2, 20, 18, 19, 7, 10, 0, 10]
Bulawayo;[17, 1, 20, 24, 7, 24, 26, 3];460;557;[27, 9, 26, 26, 5, 10, 16, 13];[7, 22, 14, 22, 9, 9, 7, 22];[2, 20, 3, 3, 24, 19, 13, 16]
Bulgaria;[17, 1, 20, 6, 24, 4, 10, 24];390;487;[27, 9, 26, 8, 22, 19, 0, 5];[7, 22, 14, 4, 26, 18, 20, 14];[2, 20, 3, 21, 7, 10, 0, 24]
Bulgarian;[17, 1, 20, 6, 24, 4, 27, 9];398;495;[27, 9, 26, 8, 22, 19, 17, 19];[7, 22, 14, 4, 26, 18, 8, 28];[2, 20, 3, 21, 7, 10, 12, 10]
Bulnesia;[17, 1, 20, 9, 18, 15, 10, 24];414;511;[27, 9, 26, 11, 16, 1, 0, 5];[7, 22, 14, 7, 20, 0, 20, 14];[2, 20, 3, 18, 13, 28, 0, 24]
Bultmann;[17, 1, 20, 16, 19, 24, 9, 9];422;519;[27, 9, 26, 18, 17, 10, 28, 19];[7, 22, 14, 14, 21, 9, 19, 28];[2, 20, 3, 11, 12, 19, 1, 10]
Burberry;[17, 1, 4, 17, 18, 4, 4, 26];328;425;[27, 9, 10, 19, 16, 19, 23, 7];[7, 22, 27, 15, 20, 18, 14, 16];[2, 20, 19, 10, 13, 10, 6, 22]
Burgoyne;[17, 1, 4, 6, 3, 26, 9, 18];298;395;[27, 9, 10, 8, 1, 12, 28, 28];[7, 22, 27, 4, 5, 11, 19, 8];[2, 20, 19, 21, 28, 17, 1, 1]
Burgundy;[17, 1, 4, 6, 1, 9, 23, 26];316;413;[27, 9, 10, 8, 28, 24, 13, 7];[7, 22, 27, 4, 3, 23, 4, 16];[2, 20, 19, 21, 1, 5, 16, 22]
Burhinus;[17, 1, 4, 8, 10, 9, 1, 15];214;311;[27, 9, 10, 10, 8, 24, 20, 25];[7, 22, 27, 6, 12, 23, 11, 5];[2, 20, 19, 19, 21, 5, 9, 4]
